N, J, Start, End
2, 1, 1669330026.N, 1669330026.N
2, 2, 1669330026.N, 1669330026.N
2, 3, 1669330026.N, 1669330026.N
2, 4, 1669330026.N, 1669330026.N
2, 5, 1669330026.N, 1669330026.N
3, 1, 1669330026.N, 1669330026.N
3, 2, 1669330026.N, 1669330026.N
3, 3, 1669330026.N, 1669330026.N
3, 4, 1669330026.N, 1669330026.N
3, 5, 1669330026.N, 1669330026.N
4, 1, 1669330026.N, 1669330026.N
4, 2, 1669330026.N, 1669330026.N
4, 3, 1669330026.N, 1669330026.N
4, 4, 1669330026.N, 1669330026.N
4, 5, 1669330026.N, 1669330026.N
5, 1, 1669330026.N, 1669330026.N
5, 2, 1669330026.N, 1669330026.N
5, 3, 1669330026.N, 1669330026.N
5, 4, 1669330026.N, 1669330026.N
5, 5, 1669330026.N, 1669330026.N
6, 1, 1669330026.N, 1669330026.N
6, 2, 1669330026.N, 1669330026.N
6, 3, 1669330026.N, 1669330026.N
6, 4, 1669330026.N, 1669330026.N
6, 5, 1669330026.N, 1669330026.N
7, 1, 1669330026.N, 1669330026.N
7, 2, 1669330026.N, 1669330026.N
7, 3, 1669330026.N, 1669330026.N
7, 4, 1669330026.N, 1669330026.N
7, 5, 1669330026.N, 1669330026.N
8, 1, 1669330026.N, 1669330026.N
8, 2, 1669330026.N, 1669330026.N
8, 3, 1669330026.N, 1669330026.N
8, 4, 1669330026.N, 1669330026.N
8, 5, 1669330026.N, 1669330026.N
9, 1, 1669330026.N, 1669330026.N
9, 2, 1669330026.N, 1669330026.N
9, 3, 1669330026.N, 1669330026.N
9, 4, 1669330026.N, 1669330026.N
9, 5, 1669330026.N, 1669330026.N
10, 1, 1669330026.N, 1669330026.N
10, 2, 1669330026.N, 1669330026.N
10, 3, 1669330026.N, 1669330026.N
10, 4, 1669330026.N, 1669330026.N
10, 5, 1669330026.N, 1669330026.N
11, 1, 1669330026.N, 1669330026.N
11, 2, 1669330026.N, 1669330026.N
11, 3, 1669330026.N, 1669330026.N
11, 4, 1669330026.N, 1669330026.N
11, 5, 1669330026.N, 1669330026.N
12, 1, 1669330026.N, 1669330026.N
12, 2, 1669330026.N, 1669330026.N
12, 3, 1669330026.N, 1669330026.N
12, 4, 1669330026.N, 1669330026.N
12, 5, 1669330026.N, 1669330026.N
13, 1, 1669330026.N, 1669330026.N
13, 2, 1669330026.N, 1669330026.N
13, 3, 1669330026.N, 1669330026.N
13, 4, 1669330026.N, 1669330026.N
13, 5, 1669330026.N, 1669330026.N
14, 1, 1669330026.N, 1669330026.N
14, 2, 1669330026.N, 1669330026.N
14, 3, 1669330026.N, 1669330026.N
14, 4, 1669330026.N, 1669330026.N
14, 5, 1669330026.N, 1669330026.N
15, 1, 1669330026.N, 1669330026.N
15, 2, 1669330026.N, 1669330026.N
15, 3, 1669330026.N, 1669330026.N
15, 4, 1669330026.N, 1669330026.N
15, 5, 1669330026.N, 1669330026.N
16, 1, 1669330026.N, 1669330026.N
16, 2, 1669330026.N, 1669330026.N
16, 3, 1669330026.N, 1669330026.N
16, 4, 1669330026.N, 1669330026.N
16, 5, 1669330026.N, 1669330026.N
17, 1, 1669330026.N, 1669330026.N
17, 2, 1669330026.N, 1669330026.N
17, 3, 1669330026.N, 1669330026.N
17, 4, 1669330026.N, 1669330026.N
17, 5, 1669330026.N, 1669330026.N
18, 1, 1669330026.N, 1669330026.N
18, 2, 1669330026.N, 1669330026.N
18, 3, 1669330027.N, 1669330027.N
18, 4, 1669330027.N, 1669330027.N
18, 5, 1669330027.N, 1669330027.N
19, 1, 1669330027.N, 1669330027.N
19, 2, 1669330027.N, 1669330027.N
19, 3, 1669330027.N, 1669330027.N
19, 4, 1669330027.N, 1669330027.N
19, 5, 1669330027.N, 1669330027.N
20, 1, 1669330027.N, 1669330027.N
20, 2, 1669330027.N, 1669330027.N
20, 3, 1669330027.N, 1669330027.N
20, 4, 1669330027.N, 1669330027.N
20, 5, 1669330027.N, 1669330027.N
21, 1, 1669330027.N, 1669330027.N
21, 2, 1669330027.N, 1669330027.N
21, 3, 1669330027.N, 1669330027.N
21, 4, 1669330027.N, 1669330027.N
21, 5, 1669330027.N, 1669330027.N
22, 1, 1669330027.N, 1669330027.N
22, 2, 1669330027.N, 1669330027.N
22, 3, 1669330027.N, 1669330027.N
22, 4, 1669330027.N, 1669330027.N
22, 5, 1669330027.N, 1669330027.N
23, 1, 1669330027.N, 1669330027.N
23, 2, 1669330027.N, 1669330027.N
23, 3, 1669330027.N, 1669330027.N
23, 4, 1669330027.N, 1669330027.N
23, 5, 1669330027.N, 1669330027.N
24, 1, 1669330027.N, 1669330027.N
24, 2, 1669330027.N, 1669330027.N
24, 3, 1669330027.N, 1669330027.N
24, 4, 1669330027.N, 1669330027.N
24, 5, 1669330027.N, 1669330027.N
25, 1, 1669330027.N, 1669330027.N
25, 2, 1669330027.N, 1669330027.N
25, 3, 1669330027.N, 1669330027.N
25, 4, 1669330027.N, 1669330027.N
25, 5, 1669330027.N, 1669330027.N
26, 1, 1669330027.N, 1669330027.N
26, 2, 1669330027.N, 1669330027.N
26, 3, 1669330027.N, 1669330027.N
26, 4, 1669330027.N, 1669330027.N
26, 5, 1669330027.N, 1669330027.N
27, 1, 1669330027.N, 1669330027.N
27, 2, 1669330027.N, 1669330027.N
27, 3, 1669330027.N, 1669330027.N
27, 4, 1669330027.N, 1669330027.N
27, 5, 1669330027.N, 1669330027.N
28, 1, 1669330027.N, 1669330027.N
28, 2, 1669330027.N, 1669330027.N
28, 3, 1669330027.N, 1669330027.N
28, 4, 1669330027.N, 1669330027.N
28, 5, 1669330027.N, 1669330027.N
29, 1, 1669330027.N, 1669330027.N
29, 2, 1669330027.N, 1669330027.N
29, 3, 1669330027.N, 1669330027.N
29, 4, 1669330027.N, 1669330027.N
29, 5, 1669330027.N, 1669330027.N
30, 1, 1669330027.N, 1669330027.N
30, 2, 1669330027.N, 1669330027.N
30, 3, 1669330027.N, 1669330027.N
30, 4, 1669330027.N, 1669330027.N
30, 5, 1669330027.N, 1669330027.N
31, 1, 1669330027.N, 1669330027.N
31, 2, 1669330027.N, 1669330027.N
31, 3, 1669330027.N, 1669330027.N
31, 4, 1669330027.N, 1669330027.N
31, 5, 1669330027.N, 1669330027.N
32, 1, 1669330027.N, 1669330027.N
32, 2, 1669330027.N, 1669330027.N
32, 3, 1669330027.N, 1669330027.N
