N,J,End
2, 1, 0.55
2, 2, 0.54
2, 3, 0.49
2, 4, 0.49
2, 5, 0.49
3, 1, 0.55
3, 2, 0.58
3, 3, 0.44
3, 4, 0.32
3, 5, 0.57
4, 1, 0.28
4, 2, 0.28
4, 3, 0.28
4, 4, 0.30
4, 5, 0.29
5, 1, 0.28
5, 2, 0.29
5, 3, 0.29
5, 4, 0.29
5, 5, 0.22
6, 1, 0.21
6, 2, 0.19
6, 3, 0.19
6, 4, 0.19
6, 5, 0.19
7, 1, 0.19
7, 2, 0.18
7, 3, 0.15
7, 4, 0.19
7, 5, 0.20
8, 1, 0.14
8, 2, 0.14
8, 3, 0.14
8, 4, 0.16
8, 5, 0.15
9, 1, 0.12
9, 2, 0.14
9, 3, 0.14
9, 4, 0.15
9, 5, 0.15
10, 1, 0.11
10, 2, 0.11
10, 3, 0.12
10, 4, 0.11
10, 5, 0.12
11, 1, 0.12
11, 2, 0.13
11, 3, 0.11
11, 4, 0.11
11, 5, 0.11
12, 1, 0.10
12, 2, 0.10
12, 3, 0.11
12, 4, 0.10
12, 5, 0.12
