N,J,End
2, 1, 0.21
2, 2, 0.22
2, 3, 0.21
2, 4, 0.21
2, 5, 0.21
3, 1, 0.26
3, 2, 0.26
3, 3, 0.26
3, 4, 0.26
3, 5, 0.26
4, 1, 0.26
4, 2, 0.26
4, 3, 0.26
4, 4, 0.26
4, 5, 0.26
5, 1, 0.31
5, 2, 0.31
5, 3, 0.31
5, 4, 0.31
5, 5, 0.31
6, 1, 0.31
6, 2, 0.31
6, 3, 0.31
6, 4, 0.31
6, 5, 0.31
7, 1, 0.35
7, 2, 0.35
7, 3, 0.35
7, 4, 0.35
7, 5, 0.35
8, 1, 0.35
8, 2, 0.35
8, 3, 0.35
8, 4, 0.35
8, 5, 0.35
9, 1, 0.40
9, 2, 0.40
9, 3, 0.40
9, 4, 0.40
9, 5, 0.40
10, 1, 0.40
10, 2, 0.40
10, 3, 0.40
10, 4, 0.40
10, 5, 0.40
11, 1, 0.44
11, 2, 0.44
11, 3, 0.44
11, 4, 0.44
11, 5, 0.44
12, 1, 0.44
12, 2, 0.44
12, 3, 0.45
12, 4, 0.44
12, 5, 0.44
